booking_id,travel_date,booking_date,lead_time_days,nights_of_stay,ship_name,company,route_type,suite_type,booking_source,package,guest_country,total_cabins,booked_cabins,cycle_occupancy_percentage,passengers_on_booking,total_crew,total_reservation_income_usd,average_daily_guest_spending_usd,satisfaction_score
17,2018-01-05,2017-12-06,30,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,Full Board,USA,2805,1,80.76,2,2350,3698.52,181.38,4.7
18,2018-01-05,2017-10-25,72,7,Icon of the Seas,Royal Caribbean,Caribbean,Oceanview,Web,All Inclusive,USA,2805,1,80.76,2,2350,3660.3,178.65,5.0
19,2018-01-05,2017-10-03,94,7,Icon of the Seas,Royal Caribbean,Caribbean,Oceanview,B2B,All Inclusive,France,2805,1,80.76,2,2350,3792.88,188.12,4.7
20,2018-01-05,2017-10-05,92,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,Full Board,Germany,2805,1,80.76,2,2350,3668.42,179.23,4.7
21,2018-01-05,2017-11-23,43,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,B2B,All Inclusive + EXC,UK,2805,1,80.76,2,2350,3539.34,170.01,4.6
22,2018-01-05,2017-11-12,54,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Direct,Full Board,UK,2805,1,80.76,2,2350,3522.12,168.78,4.7
23,2018-01-05,2017-10-12,85,7,Icon of the Seas,Royal Caribbean,Caribbean,Suite,B2B,Full Board + EXC,Germany,2805,1,80.76,2,2350,3458.28,164.22,4.8
24,2018-01-05,2017-10-17,80,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive,Germany,2805,2,80.76,4,2350,7054.88,169.16,4.6
25,2018-01-05,2017-10-06,91,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive,Germany,2805,1,80.76,2,2350,3660.72,178.68,4.7
26,2018-01-05,2017-09-12,115,7,Icon of the Seas,Royal Caribbean,Caribbean,Suite,B2B,All Inclusive + EXC,France,2805,1,80.76,2,2350,3461.78,164.47,4.7
27,2018-01-05,2017-09-24,103,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,Full Board + EXC,Canada,2805,1,80.76,3,2350,5115.39,188.39,4.9
28,2018-01-05,2017-10-07,90,7,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,All Inclusive,Spain,2805,1,80.76,1,2350,2538.76,197.08,4.5
29,2018-01-05,2017-10-29,68,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3825.08,190.42,4.8
30,2018-01-05,2017-07-21,168,7,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,USA,2805,1,80.76,2,2350,3381.7,158.75,4.8
31,2018-01-05,2017-09-25,102,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive,Mexico,1643,1,81.33,2,1388,3851.46,131.17,4.5
32,2018-01-05,2017-09-29,98,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Direct,Full Board,UK,1643,1,81.33,2,1388,3709.26,123.27,4.4
33,2018-01-05,2017-09-27,100,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,USA,1643,1,81.33,2,1388,3889.26,133.27,4.4
34,2018-01-05,2017-08-19,139,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,B2B,All Inclusive + EXC,Spain,1643,1,81.33,2,1388,4064.58,143.01,4.3
35,2018-01-05,2017-10-06,91,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,Full Board,USA,1643,1,81.33,1,1388,2729.88,137.72,4.5
36,2018-01-05,2017-09-18,109,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,B2B,Full Board,Spain,1643,1,81.33,2,1388,3925.26,135.27,4.4
37,2018-01-05,2017-11-02,64,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,B2B,Full Board,USA,1643,1,81.33,2,1388,4005.9,139.75,4.7
38,2018-01-05,2017-09-23,104,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Web,Full Board,USA,1643,1,81.33,1,1388,2689.74,133.26,4.5
39,2018-01-05,2017-10-20,77,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Oceanview,Web,All Inclusive,Canada,1643,1,81.33,2,1388,3842.64,130.68,4.5
40,2018-01-05,2017-10-21,76,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Suite,Direct,Full Board,USA,1643,1,81.33,2,1388,3930.48,135.56,4.5
41,2018-01-05,2017-11-17,49,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Suite,Direct,Full Board,Spain,1643,1,81.33,1,1388,2737.26,138.54,4.6
42,2018-01-05,2017-12-25,11,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,B2B,All Inclusive + EXC,USA,1643,2,81.33,4,1388,7584.84,127.89,4.5
43,2018-01-05,2017-10-04,93,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,Web,Full Board,USA,1643,1,81.33,1,1388,2724.57,137.13,4.6
44,2018-01-05,2017-09-02,125,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Interior,B2B,Full Board + EXC,Spain,1643,2,81.33,2,1388,5295.78,128.61,4.5
45,2018-01-05,2017-10-13,84,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Direct,All Inclusive + EXC,Canada,1643,1,81.33,1,1388,2650.05,128.85,4.5
46,2018-01-05,2017-10-25,72,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Web,All Inclusive,USA,1250,2,91.0,4,1458,4376.16,190.71,4.9
47,2018-01-05,2017-08-23,135,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,Direct,Full Board + EXC,Germany,1250,1,91.0,2,1458,2261.76,199.92,5.0
48,2018-01-05,2017-10-16,81,4,Disney Dream,Disney Cruise Line,Bahamas,Suite,B2B,All Inclusive,Mexico,1250,1,91.0,2,1458,2107.84,180.68,4.8
49,2018-01-05,2017-10-01,96,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,B2B,All Inclusive + EXC,USA,1250,1,91.0,2,1458,2214.32,193.99,5.0
50,2018-01-05,2017-09-17,110,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,Web,Full Board,Canada,1250,1,91.0,2,1458,2260.16,199.72,4.8
51,2018-01-05,2017-10-17,80,4,Disney Dream,Disney Cruise Line,Bahamas,Suite,B2B,All Inclusive + EXC,Spain,1250,1,91.0,2,1458,2163.04,187.58,4.9
52,2018-01-05,2017-08-20,138,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Web,Full Board + EXC,Mexico,1250,2,91.0,4,1458,4274.56,184.36,5.0
53,2018-01-05,2017-09-18,109,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,B2B,Full Board + EXC,Germany,1250,1,91.0,1,1458,1385.56,180.79,4.9
54,2018-01-05,2017-10-07,90,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Direct,Full Board,Germany,1250,1,91.0,2,1458,2152.4,186.25,5.0
55,2018-01-05,2017-11-15,51,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,B2B,Full Board,Germany,1250,1,91.0,2,1458,2040.64,172.28,5.0
56,2018-01-05,2017-10-30,67,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive,Germany,1250,1,91.0,2,1458,2042.72,172.54,4.9
57,2018-01-05,2017-11-27,39,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive + EXC,USA,1250,1,91.0,2,1458,2088.16,178.22,5.0
58,2018-01-05,2017-10-28,69,4,Disney Dream,Disney Cruise Line,Bahamas,Oceanview,Web,All Inclusive + EXC,UK,1250,1,91.0,1,1458,1396.8,183.6,4.8
59,2018-01-05,2017-11-01,65,4,Disney Dream,Disney Cruise Line,Bahamas,Interior,B2B,All Inclusive,Spain,1250,1,91.0,1,1458,1412.96,187.64,4.9
60,2018-01-05,2017-09-13,114,4,Disney Dream,Disney Cruise Line,Bahamas,Balcony,Direct,All Inclusive,France,1250,1,91.0,1,1458,1396.8,183.6,4.8
61,2018-01-05,2017-09-22,105,4,Costa Smeralda,Costa Cruceros,Mediterranean,Balcony,B2B,All Inclusive + EXC,UK,2612,1,83.26,2,1688,1642.72,122.54,4.2
62,2018-01-05,2017-10-19,78,4,Costa Smeralda,Costa Cruceros,Mediterranean,Oceanview,Direct,All Inclusive,USA,2612,1,83.26,1,1688,1160.96,124.64,4.1
63,2018-01-05,2017-10-13,84,4,Costa Smeralda,Costa Cruceros,Mediterranean,Interior,Web,All Inclusive + EXC,UK,2612,1,83.26,2,1688,1815.12,144.09,4.3
64,2018-01-05,2017-08-25,133,4,Costa Smeralda,Costa Cruceros,Mediterranean,Balcony,B2B,All Inclusive,USA,2612,1,83.26,1,1688,1141.56,119.79,4.3
65,2018-01-05,2017-11-02,64,4,Costa Smeralda,Costa Cruceros,Mediterranean,Interior,B2B,All Inclusive,USA,2612,1,83.26,1,1688,1113.12,112.68,4.3
66,2018-01-05,2017-10-04,93,4,Costa Smeralda,Costa Cruceros,Mediterranean,Suite,B2B,All Inclusive,Mexico,2612,1,83.26,2,1688,1718.64,132.03,4.1
67,2018-01-05,2017-11-05,61,4,Costa Smeralda,Costa Cruceros,Mediterranean,Suite,Direct,All Inclusive + EXC,USA,2612,1,83.26,2,1688,1707.2,130.6,3.9
68,2018-01-05,2017-11-21,45,4,Costa Smeralda,Costa Cruceros,Mediterranean,Interior,B2B,Full Board,USA,2612,1,83.26,2,1688,1659.2,124.6,4.2
69,2018-01-05,2017-09-07,120,4,Costa Smeralda,Costa Cruceros,Mediterranean,Oceanview,B2B,All Inclusive,Mexico,2612,1,83.26,1,1688,1206.08,135.92,4.3
70,2018-01-05,2017-10-07,90,4,Costa Smeralda,Costa Cruceros,Mediterranean,Balcony,Direct,All Inclusive + EXC,USA,2612,1,83.26,2,1688,1697.28,129.36,4.2
71,2018-01-05,2017-10-30,67,4,Costa Smeralda,Costa Cruceros,Mediterranean,Balcony,Web,All Inclusive,UK,2612,1,83.26,1,1688,1191.6,132.3,4.3
72,2018-01-05,2017-10-21,76,4,Costa Smeralda,Costa Cruceros,Mediterranean,Oceanview,B2B,Full Board + EXC,Spain,2612,1,83.26,2,1688,1596.4,116.75,4.2
73,2018-01-05,2017-09-13,114,4,Costa Smeralda,Costa Cruceros,Mediterranean,Balcony,Direct,All Inclusive,France,2612,2,83.26,2,1688,2309.6,123.1,4.2
74,2018-01-05,2017-09-25,102,4,Costa Smeralda,Costa Cruceros,Mediterranean,Suite,Direct,All Inclusive,USA,2612,1,83.26,2,1688,1702.16,129.97,4.2
75,2018-01-05,2017-10-10,87,4,Costa Smeralda,Costa Cruceros,Mediterranean,Interior,B2B,All Inclusive,UK,2612,1,83.26,1,1688,1168.64,126.56,4.3
76,2018-01-05,2017-08-25,133,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board,UK,1646,1,91.07,2,1416,4292.28,155.66,4.5
77,2018-01-05,2017-09-20,107,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,All Inclusive + EXC,Spain,1646,1,91.07,1,1416,2960.82,163.38,5.0
78,2018-01-05,2017-08-11,147,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,B2B,Full Board + EXC,Canada,1646,2,91.07,4,1416,8579.52,155.52,4.8
79,2018-01-05,2017-11-16,50,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,Direct,All Inclusive + EXC,UK,1646,2,91.07,2,1416,6265.26,182.47,4.8
80,2018-01-05,2017-09-13,114,9,Celebrity Beyond,Celebrity Cruises,Alaska,Oceanview,B2B,All Inclusive,Italy,1646,2,91.07,2,1416,5707.44,151.48,4.5
81,2018-01-05,2017-10-21,76,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,Direct,All Inclusive,Spain,1646,1,91.07,1,1416,3006.27,168.43,4.7
82,2018-01-05,2017-11-17,49,9,Celebrity Beyond,Celebrity Cruises,Alaska,Oceanview,Direct,Full Board,USA,1646,2,91.07,4,1416,8731.44,159.74,4.5
83,2018-01-05,2017-10-12,85,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,All Inclusive + EXC,Germany,1646,1,91.07,1,1416,2939.31,160.99,4.7
84,2018-01-05,2017-08-25,133,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,All Inclusive + EXC,Germany,1646,1,91.07,1,1416,3038.49,172.01,4.4
85,2018-01-05,2017-12-01,35,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board + EXC,Canada,1646,1,91.07,1,1416,2921.31,158.99,4.7
86,2018-01-05,2017-11-06,60,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,Web,Full Board,USA,1646,1,91.07,1,1416,2909.43,157.67,4.8
87,2018-01-05,2017-09-18,109,9,Celebrity Beyond,Celebrity Cruises,Alaska,Balcony,B2B,All Inclusive,USA,1646,1,91.07,2,1416,4644.9,175.25,4.6
88,2018-01-05,2017-12-10,26,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,Full Board + EXC,USA,1646,2,91.07,4,1416,8657.64,157.69,4.8
89,2018-01-05,2017-11-26,40,9,Celebrity Beyond,Celebrity Cruises,Alaska,Interior,B2B,All Inclusive + EXC,USA,1646,1,91.07,2,1416,4149.36,147.72,4.6
90,2018-01-05,2017-09-08,119,9,Celebrity Beyond,Celebrity Cruises,Alaska,Suite,Web,All Inclusive,France,1646,1,91.07,1,1416,2921.22,158.98,4.7
91,2018-01-05,2017-10-12,85,12,Queen Mary 2,Cunard Line,Transatlantic,Balcony,B2B,All Inclusive,Italy,1347,1,86.18,2,1253,6449.04,185.91,4.9
92,2018-01-05,2017-08-17,141,12,Queen Mary 2,Cunard Line,Transatlantic,Balcony,Web,Full Board,USA,1347,1,86.18,2,1253,6397.68,183.77,4.6
93,2018-01-05,2017-10-06,91,12,Queen Mary 2,Cunard Line,Transatlantic,Oceanview,B2B,All Inclusive,UK,1347,1,86.18,1,1253,4230.96,186.98,4.7
94,2018-01-05,2017-08-01,157,12,Queen Mary 2,Cunard Line,Transatlantic,Oceanview,Web,All Inclusive,Germany,1347,2,86.18,2,1253,8623.44,193.71,4.9
95,2018-01-05,2017-07-15,174,12,Queen Mary 2,Cunard Line,Transatlantic,Interior,B2B,All Inclusive + EXC,USA,1347,1,86.18,1,1253,4373.28,198.84,4.8
96,2018-01-05,2017-12-06,30,12,Queen Mary 2,Cunard Line,Transatlantic,Interior,Web,All Inclusive + EXC,UK,1347,1,86.18,1,1253,4492.8,208.8,4.9
97,2018-01-05,2017-10-15,82,12,Queen Mary 2,Cunard Line,Transatlantic,Interior,Direct,All Inclusive,USA,1347,1,86.18,2,1253,7103.28,213.17,4.8
98,2018-01-05,2017-10-28,69,12,Queen Mary 2,Cunard Line,Transatlantic,Balcony,Web,Full Board,UK,1347,1,86.18,2,1253,6949.2,206.75,4.8
99,2018-01-05,2017-11-19,47,12,Queen Mary 2,Cunard Line,Transatlantic,Interior,Direct,Full Board + EXC,USA,1347,2,86.18,4,1253,14238.24,213.83,4.8
100,2018-01-05,2017-12-01,35,12,Queen Mary 2,Cunard Line,Transatlantic,Balcony,B2B,Full Board,USA,1347,1,86.18,2,1253,6898.8,204.65,4.7
101,2018-01-05,2017-08-23,135,12,Queen Mary 2,Cunard Line,Transatlantic,Oceanview,Web,All Inclusive,USA,1347,1,86.18,2,1253,7055.52,211.18,4.8
102,2018-01-05,2017-09-18,109,12,Queen Mary 2,Cunard Line,Transatlantic,Balcony,B2B,All Inclusive,France,1347,1,86.18,2,1253,6719.28,197.17,5.0
103,2018-01-05,2017-10-28,69,12,Queen Mary 2,Cunard Line,Transatlantic,Oceanview,Direct,Full Board + EXC,Mexico,1347,1,86.18,2,1253,6632.88,193.57,4.9
104,2018-01-05,2017-12-19,17,12,Queen Mary 2,Cunard Line,Transatlantic,Interior,B2B,All Inclusive,USA,1347,1,86.18,1,1253,4535.52,212.36,4.8
105,2018-01-05,2017-10-07,90,12,Queen Mary 2,Cunard Line,Transatlantic,Suite,Direct,Full Board,USA,1347,1,86.18,2,1253,6463.44,186.51,4.8
106,2018-01-05,2017-10-26,71,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,All Inclusive,USA,2732,1,82.05,1,1500,1681.32,114.62,4.4
107,2018-01-05,2017-08-19,139,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,All Inclusive,Germany,2732,1,82.05,2,1500,2402.76,117.43,4.4
108,2018-01-05,2017-09-23,104,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,Full Board + EXC,France,2732,1,82.05,2,1500,2416.08,118.54,4.2
109,2018-01-05,2017-10-31,66,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,B2B,Full Board,Spain,2732,2,82.05,4,1500,4357.92,98.78,4.2
110,2018-01-05,2017-12-09,27,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,All Inclusive,UK,2732,2,82.05,4,1500,4942.32,123.13,4.4
111,2018-01-05,2017-09-05,122,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,Full Board,Italy,2732,1,82.05,2,1500,2382.24,115.72,4.4
112,2018-01-05,2017-10-25,72,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Web,All Inclusive,Italy,2732,1,82.05,1,1500,1724.4,121.8,4.2
113,2018-01-05,2017-10-06,91,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,Direct,All Inclusive,USA,2732,1,82.05,2,1500,2482.8,124.1,4.1
114,2018-01-05,2017-09-24,103,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,Web,All Inclusive,UK,2732,1,82.05,2,1500,2472.48,123.24,4.3
115,2018-01-05,2017-09-05,122,6,AIDAcosma,AIDA Cruises,Canarias,Interior,Web,Full Board,USA,2732,1,82.05,1,1500,1646.28,108.78,4.4
116,2018-01-05,2017-09-30,97,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,Full Board + EXC,Mexico,2732,1,82.05,1,1500,1767.36,128.96,4.3
117,2018-01-05,2017-12-02,34,6,AIDAcosma,AIDA Cruises,Canarias,Balcony,B2B,All Inclusive,Mexico,2732,1,82.05,1,1500,1734.48,123.48,4.4
118,2018-01-05,2017-10-20,77,6,AIDAcosma,AIDA Cruises,Canarias,Interior,B2B,Full Board,UK,2732,2,82.05,2,1500,3554.88,130.64,4.2
119,2018-01-05,2017-10-21,76,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,B2B,Full Board + EXC,Spain,2732,1,82.05,2,1500,2434.08,120.04,4.3
120,2018-01-05,2017-10-03,94,6,AIDAcosma,AIDA Cruises,Canarias,Oceanview,Web,All Inclusive + EXC,Mexico,2732,1,82.05,1,1500,1731.66,123.01,4.4
121,2018-01-06,2017-10-17,81,8,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,Full Board + EXC,Germany,2626,1,87.85,2,2138,3799.2,154.65,4.4
122,2018-01-06,2017-12-08,29,8,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,B2B,All Inclusive + EXC,USA,2626,1,87.85,2,2138,3699.36,148.41,4.2
123,2018-01-06,2017-12-08,29,8,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive,Spain,2626,1,87.85,2,2138,3798.72,154.62,4.6
124,2018-01-06,2017-07-21,169,8,MSC World Europa,MSC Cruceros,Mediterranean,Interior,Direct,All Inclusive,USA,2626,1,87.85,1,2138,2525.76,150.12,4.5
125,2018-01-06,2017-11-18,49,8,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Direct,All Inclusive,Spain,2626,1,87.85,1,2138,2599.28,159.31,4.6
126,2018-01-06,2017-08-11,148,8,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive,Germany,2626,2,87.85,4,2138,7724.48,158.59,4.6
127,2018-01-06,2017-08-28,131,8,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,Web,All Inclusive,France,2626,1,87.85,2,2138,3802.4,154.85,4.8
128,2018-01-06,2017-11-19,48,8,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,B2B,All Inclusive,USA,2626,1,87.85,1,2138,2537.76,151.62,4.8
129,2018-01-06,2017-10-12,86,8,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,Web,All Inclusive,Mexico,2626,1,87.85,2,2138,3692.64,147.99,4.5
130,2018-01-06,2017-09-11,117,8,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,All Inclusive + EXC,France,2626,1,87.85,2,2138,3604.8,142.5,4.3
131,2018-01-06,2017-08-16,143,8,MSC World Europa,MSC Cruceros,Mediterranean,Suite,B2B,Full Board + EXC,Germany,2626,1,87.85,1,2138,2440.08,139.41,4.4
132,2018-01-06,2017-08-26,133,8,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,Web,All Inclusive,Germany,2626,1,87.85,2,2138,3813.6,155.55,4.5
133,2018-01-06,2017-10-14,84,8,MSC World Europa,MSC Cruceros,Mediterranean,Interior,B2B,Full Board + EXC,USA,2626,1,87.85,2,2138,3734.56,150.61,4.6
134,2018-01-06,2017-09-30,98,8,MSC World Europa,MSC Cruceros,Mediterranean,Oceanview,B2B,All Inclusive + EXC,USA,2626,1,87.85,1,2138,2460.56,141.97,4.7
135,2018-01-06,2017-10-11,87,8,MSC World Europa,MSC Cruceros,Mediterranean,Balcony,B2B,Full Board + EXC,Spain,2626,1,87.85,1,2138,2523.44,149.83,4.7
136,2018-01-06,2017-09-14,114,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive,USA,2805,1,87.88,2,2350,2628.1,180.01,4.9
137,2018-01-06,2017-10-16,82,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,All Inclusive,USA,2805,1,87.88,1,2350,1705.4,175.48,4.7
138,2018-01-06,2017-10-09,89,5,Icon of the Seas,Royal Caribbean,Caribbean,Suite,B2B,All Inclusive + EXC,USA,2805,2,87.88,4,2350,5365.0,185.45,4.4
139,2018-01-06,2017-09-05,123,5,Icon of the Seas,Royal Caribbean,Caribbean,Oceanview,Web,All Inclusive,USA,2805,1,87.88,1,2350,1723.4,179.08,4.7
140,2018-01-06,2017-10-15,83,5,Icon of the Seas,Royal Caribbean,Caribbean,Oceanview,Web,All Inclusive,UK,2805,1,87.88,3,2350,3504.3,178.42,5.0
141,2018-01-06,2017-09-21,107,5,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Web,Full Board,UK,2805,1,87.88,1,2350,1677.1,169.82,4.8
142,2018-01-06,2017-09-08,120,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,All Inclusive,Mexico,2805,1,87.88,1,2350,1782.45,190.89,4.9
143,2018-01-06,2017-09-23,105,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive,UK,2805,1,87.88,2,2350,2708.3,188.03,4.8
144,2018-01-06,2017-11-27,40,5,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,USA,2805,1,87.88,1,2350,1667.4,167.88,4.5
145,2018-01-06,2017-08-17,142,5,Icon of the Seas,Royal Caribbean,Caribbean,Interior,B2B,All Inclusive,USA,2805,1,87.88,2,2350,2395.8,156.78,4.7
146,2018-01-06,2017-11-23,44,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Direct,All Inclusive + EXC,USA,2805,1,87.88,1,2350,1756.35,185.67,5.0
147,2018-01-06,2017-09-17,111,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,Web,Full Board,UK,2805,1,87.88,2,2350,2577.7,174.97,4.9
148,2018-01-06,2017-09-10,118,5,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,USA,2805,1,87.88,1,2350,1751.75,184.75,4.6
149,2018-01-06,2017-09-24,104,5,Icon of the Seas,Royal Caribbean,Caribbean,Balcony,B2B,All Inclusive + EXC,USA,2805,1,87.88,1,2350,1792.75,192.95,4.8
150,2018-01-06,2017-08-26,133,5,Icon of the Seas,Royal Caribbean,Caribbean,Interior,Direct,All Inclusive,Mexico,2805,1,87.88,1,2350,1716.75,177.75,4.7
151,2018-01-06,2017-12-02,35,9,Norwegian Prima,Norwegian Cruise Line,Fiordos,Balcony,Web,All Inclusive,USA,1643,1,85.25,2,1388,3858.48,131.56,4.6
